Business,Address,Lat,Long,Type
The Peak Plaza,1609 N Blackwelder Ave,35.48538,-97.53919,Other
Gaia's Favor Medical Marijuana Dispensary,2507 NW 23rd St,35.49346,-97.55697,Dispensary
Rabbit Hole Cannabis Dispensary,2500 NW 23rd St,35.49288,-97.55687,Dispensary
The Greens of Central Oklahoma,3401 NW 23rd St,35.49354,-97.57688,Other
Sage Wellness,4200 N Western Ave,35.51413,-97.52957,Wellness
Urban Wellness,1515 NE 23rd St,35.49314,-97.39795,Wellness
23rd Street Dispensary,2120 NW 23rd St,35.49294,-97.54873,Dispensary
Ziggyz Cannabis Co.,4007 N Pennsylvania Ave,35.91807,-97.55062,Other
Midtown Cannabis,229 NW 9th St,35.47746,-97.51739,Other
Herban Mother LLC,607 NW 28th St,35.49876,-97.52291,Other
Terpinz Dispensary,507 E California Ave,35.46564,-97.5042,Dispensary
Project Releaf,1218 N Pennsylvania Ave,35.62016,-97.54954,Other
Trichomes Dispensary,1101 N Villa Ave,35.47873,-97.55663,Dispensary
CBD Plus USA Medical Marijuana Dispensary,420 N Pennsylvania Ave,35.47165,-97.54733,Wellness
Chill Dispensary,22 NE 10th St,35.47778,-97.51113,Dispensary
LIFT Rx,1131 N May Ave,35.47948,-97.56559,Other
APCO Med,313 NW 23rd St,35.49358,-97.51799,Wellness
ElectraLeaf,25 N Oklahoma Ave,35.46622,-97.63716,Other
OKC Budworx,814 W Sheridan Ave,35.46614,-97.52657,Other
